id_reserva,id_unidade,id_tipo_quarto,id_cliente,id_canal,data_checkin,data_checkout,qtd_diarias,num_hospedes,avaliacao_hospede,status_reserva,forma_pagamento,avaliado_sim_nao
1,5,1,3,2,2024-04-28,2024-04-30,2.0,1.0,4,Confirmada,Cartão de Crédito,Sim
2,5,1,261,4,2023-09-28,2023-10-01,3.0,2.0,1,Concluída,PIX,Sim
3,10,4,49,4,2023-08-01,2023-08-06,5.0,1.0,9,Concluída,Cartão de Crédito,Sim
4,6,2,23,2,2023-02-18,2023-02-21,3.0,1.0,9,Cancelada,PIX,Sim
5,7,1,42,1,2023-01-12,2023-01-19,7.0,1.0,6,Confirmada,Transferência,Sim
6,4,3,179,3,2024-04-28,2024-05-03,5.0,3.0,10,Confirmada,Transferência,Sim
7,10,2,144,2,2023-04-19,2023-04-24,5.0,1.0,9,Confirmada,Dinheiro,Sim
8,4,4,33,3,2023-08-26,2023-09-02,7.0,2.0,99,No-show,Dinheiro,Não
9,2,3,140,2,2024-04-04,2024-04-08,4.0,3.0,6,Concluída,Dinheiro,Sim
10,5,1,48,2,2023-07-02,2023-07-04,2.0,1.0,2,Confirmada,PIX,Sim
11,8,3,189,0,2024-10-08,2024-10-13,5.0,1.0,8,Concluída,Transferência,Sim
12,8,3,263,1,2023-04-20,2023-04-21,1.0,3.0,7,Confirmada,Transferência,Sim
13,3,3,184,0,2024-02-01,2024-02-02,1.0,1.0,2,Confirmada,PIX,Sim
14,4,3,68,3,2024-03-07,2024-03-11,4.0,3.0,99,Cancelada,Dinheiro,Não
15,6,2,173,1,2024-07-20,2024-07-23,3.0,1.0,99,Cancelada,Transferência,Não
16,2,1,79,2,2024-05-25,2024-05-31,6.0,2.0,6,Confirmada,PIX,Sim
17,9,3,272,1,2023-03-23,2023-03-30,7.0,1.0,9,Confirmada,Transferência,Sim
18,7,4,148,3,2023-12-12,2023-12-18,6.0,3.0,9,Concluída,Transferência,Sim
19,3,1,151,4,2024-01-15,2024-01-17,2.0,2.0,1,Confirmada,Cartão de Crédito,Sim
20,4,1,201,1,2023-08-13,2023-08-14,1.0,2.0,10,Confirmada,Dinheiro,Sim
21,10,4,153,4,2023-01-18,2023-01-23,5.0,4.0,6,Confirmada,Cartão de Crédito,Sim
22,10,2,230,1,2023-11-13,2023-11-18,5.0,1.0,10,Cancelada,Cartão de Débito,Sim
23,10,3,215,2,2023-09-29,2023-10-04,5.0,1.0,6,Confirmada,Cartão de Crédito,Sim
24,4,2,89,4,2023-07-24,2023-07-25,1.0,2.0,9,Confirmada,PIX,Sim
25,11,1,196,1,2024-01-21,2024-01-28,7.0,1.0,7,Confirmada,PIX,Sim
26,8,1,60,2,2023-04-29,2023-05-01,2.0,2.0,7,Confirmada,Cartão de Crédito,Sim
27,5,3,276,4,2024-09-12,2024-09-13,1.0,1.0,2,Confirmada,Transferência,Sim
28,5,1,162,4,2023-10-15,2023-10-17,2.0,1.0,2,Confirmada,Dinheiro,Sim
29,8,1,44,3,2023-05-24,2023-05-26,2.0,2.0,10,Confirmada,Transferência,Sim
30,7,3,206,4,2024-04-07,2024-04-13,6.0,1.0,9,Confirmada,Transferência,Sim
31,4,5,95,2,2024-02-19,2024-02-23,4.0,3.0,9,No-show,Cartão de Crédito,Sim
32,3,2,144,2,2023-07-15,2023-07-17,2.0,2.0,2,Confirmada,Transferência,Sim
33,3,1,225,2,2023-07-15,2023-07-17,2.0,2.0,1,Confirmada,Cartão de Débito,Sim
34,4,1,149,3,2024-12-20,2024-12-26,6.0,1.0,7,Confirmada,Cartão de Crédito,Sim
35,12,2,155,4,2024-05-07,2024-05-13,6.0,1.0,9,Confirmada,Dinheiro,Sim
36,11,1,259,4,2023-03-26,2023-03-29,3.0,1.0,99,Cancelada,Cartão de Crédito,Não
37,7,3,150,1,2023-01-09,2023-01-11,2.0,1.0,1,Concluída,Cartão de Débito,Sim
38,9,3,33,1,2023-07-25,2023-07-27,2.0,3.0,10,Cancelada,Dinheiro,Sim
39,12,2,240,2,2023-08-23,2023-08-30,7.0,1.0,8,Confirmada,PIX,Sim
40,12,4,240,2,2024-12-03,2024-12-09,6.0,4.0,6,Confirmada,Cartão de Crédito,Sim
41,9,3,74,1,2023-12-03,2023-12-09,6.0,3.0,99,Confirmada,Cartão de Débito,Não
42,9,1,106,4,2024-07-01,2024-07-08,7.0,1.0,99,Confirmada,Dinheiro,Não
43,11,3,107,1,2023-10-08,2023-10-13,5.0,3.0,6,Confirmada,Transferência,Sim
44,6,1,184,4,2023-08-10,2023-08-15,5.0,2.0,99,Concluída,PIX,Não
45,8,2,233,2,2024-02-20,2024-02-21,1.0,2.0,9,Concluída,PIX,Sim
46,3,2,130,3,2023-07-15,2023-07-17,2.0,2.0,3,Confirmada,Dinheiro,Sim
47,11,3,72,4,2024-11-03,2024-11-05,2.0,3.0,7,Concluída,Transferência,Sim
48,5,2,267,3,2023-10-15,2023-10-17,2.0,1.0,3,Confirmada,PIX,Sim
49,1,1,80,3,2023-04-16,2023-04-17,1.0,1.0,99,Confirmada,PIX,Não
50,4,2,247,3,2023-08-10,2023-08-17,7.0,1.0,7,Confirmada,PIX,Sim
51,11,1,139,4,2024-09-14,2024-09-15,1.0,2.0,99,Confirmada,Cartão de Débito,Não
52,3,1,122,2,2024-01-15,2024-01-17,2.0,2.0,3,Confirmada,Cartão de Crédito,Sim
53,1,3,259,0,2024-05-08,2024-05-11,3.0,1.0,10,No-show,Cartão de Débito,Sim
54,1,3,193,1,2023-08-22,2023-08-24,2.0,3.0,99,Confirmada,Cartão de Crédito,Não
55,5,1,166,2,2023-04-22,2023-04-23,1.0,2.0,99,Confirmada,Cartão de Débito,Não
56,3,2,41,2,2024-01-15,2024-01-17,2.0,1.0,1,Confirmada,PIX,Sim
57,12,5,41,1,2024-11-24,2024-11-26,2.0,1.0,6,No-show,Transferência,Sim
58,4,5,109,1,2024-01-08,2024-01-11,3.0,2.0,6,Confirmada,PIX,Sim
59,3,2,94,1,2023-04-10,2023-04-11,1.0,2.0,2,Confirmada,Dinheiro,Sim
60,12,3,281,4,2024-09-07,2024-09-10,3.0,2.0,8,Confirmada,Cartão de Débito,Sim
61,11,1,60,2,2023-01-30,2023-02-06,7.0,2.0,6,Confirmada,Cartão de Débito,Sim
62,11,2,227,4,2024-06-21,2024-06-25,4.0,1.0,9,Confirmada,Cartão de Crédito,Sim
63,2,3,251,0,2024-10-31,2024-11-06,6.0,3.0,99,Confirmada,Cartão de Débito,Não
64,1,2,223,4,2023-08-08,2023-08-13,5.0,1.0,6,Cancelada,Transferência,Sim
65,5,1,20,2,2023-10-15,2023-10-17,2.0,1.0,2,Confirmada,Cartão de Crédito,Sim
66,8,2,272,1,2024-09-04,2024-09-05,1.0,1.0,9,No-show,Transferência,Sim
67,1,2,69,1,2023-02-07,2023-02-12,5.0,2.0,7,Confirmada,PIX,Sim
68,12,1,291,1,2024-12-02,2024-12-07,5.0,2.0,10,Confirmada,Dinheiro,Sim
69,9,4,102,3,2023-06-17,2023-06-19,2.0,3.0,8,Confirmada,Cartão de Débito,Sim
70,1,2,16,1,2023-12-22,2023-12-28,6.0,1.0,10,Confirmada,Dinheiro,Sim
71,10,2,5,1,2023-04-27,2023-04-30,3.0,1.0,99,Confirmada,Transferência,Não
72,8,1,43,1,2024-12-04,2024-12-10,6.0,2.0,8,Concluída,PIX,Sim
73,2,4,75,2,2024-02-23,2024-02-26,3.0,3.0,6,Confirmada,PIX,Sim
74,12,2,113,1,2024-07-21,2024-07-25,4.0,1.0,8,Cancelada,Cartão de Crédito,Sim
75,4,2,155,3,2024-04-24,2024-04-27,3.0,2.0,10,Confirmada,Cartão de Débito,Sim
76,9,2,186,3,2024-11-10,2024-11-14,4.0,2.0,9,Confirmada,Cartão de Crédito,Sim
77,8,5,149,2,2024-05-11,2024-05-14,3.0,3.0,7,Cancelada,Transferência,Sim
78,11,5,258,2,2024-11-28,2024-12-03,5.0,2.0,99,Confirmada,Dinheiro,Não
79,11,4,275,1,2023-05-05,2023-05-08,3.0,2.0,10,Confirmada,Cartão de Crédito,Sim
80,3,1,277,4,2024-01-15,2024-01-17,2.0,2.0,1,Confirmada,Transferência,Sim
81,5,1,231,3,2024-06-15,2024-06-17,2.0,2.0,3,Confirmada,Transferência,Sim
82,3,3,101,2,2023-03-26,2023-03-28,2.0,2.0,1,Confirmada,PIX,Sim
83,3,2,98,4,2024-01-15,2024-01-17,2.0,1.0,1,Confirmada,Cartão de Débito,Sim
84,6,5,83,2,2023-02-05,2023-02-11,6.0,1.0,7,Confirmada,Cartão de Débito,Sim
85,12,2,215,3,2024-01-06,2024-01-12,6.0,1.0,6,Confirmada,Transferência,Sim
86,1,2,267,1,2023-09-28,2023-10-01,3.0,2.0,9,No-show,Cartão de Crédito,Sim
87,9,4,104,1,2024-07-11,2024-07-17,6.0,3.0,10,Confirmada,Dinheiro,Sim
88,10,3,45,1,2024-02-26,2024-02-28,2.0,1.0,6,No-show,PIX,Sim
